variable,field,Y2000,Y2010,district
Population,Female,72791,84972,3
Population,Male,78740,88282,3
Population,Under 5 years,4106,5535,3
Population,5 to 9 years,3168,3612,3
Population,10 to 14 years,2971,2876,3
Population,15 to 19 years,4035,5157,3
Population,20 to 24 years,11566,15557,3
Population,25 to 44 years,72840,78573,3
Population,45 to 64 years,36037,42401,3
Population,65 years and over,16808,19543,3
Population,18 years and over,139579,159415,3
Population,In households,143643,166585,3
Population,In households_In family households,57571,66873,3
Population,In households_In family households_Householder,21537,25187,3
Population,In households_In family households_Spouse,15599,18454,3
Population,In households_In family households_Own child under 18 years,9975,12566,3
Population,In households_In family households_Other relatives,8966,9269,3
Population,In households_In family households_Nonrelatives,1494,1397,3
Population,In households_In nonfamily households,86072,99712,3
Population,In households_In nonfamily households_Householder,68695,77999,3
Population,In households_In nonfamily households_Householder 65 years and over living alone,9132,10261,3
Population,In households_In nonfamily households_Nonrelatives,17377,21713,3
Population,In group quarters_In nonfamily households,7888,6669,3
Households,In group quarters_In nonfamily households,90232,103186,3
Households,Family households_In nonfamily households,21537,25187,3
Households,Family households_Married-couple family,15599,18454,3
Households,Family households_Married-couple family_With related children under 18 years,4651,6027,3
Households,"Family households_Female householder, no husband present",4159,4870,3
Households,"Family households_Female householder, no husband present_With related children under 18 years",1935,2272,3
Households,"Family households_Male householder, no wife present",1779,1863,3
Households,"Family households_Male householder, no wife present_With related children under 18 years",548,599,3
Households,"Nonfamily households_Male householder, no wife present",68695,77999,3
Households,"Households with one or more persons 65 years and over_Male householder, no wife present",14061,16420,3
Persons Per Family,"Households with one or more persons 65 years and over_Male householder, no wife present",2.603751683149928,2.599595029181721,3
Persons Per Household,"Households with one or more persons 65 years and over_Male householder, no wife present",1.5919296923486124,1.6144147461864982,3
Total Housing Units,"Households with one or more persons 65 years and over_Male householder, no wife present",97563,117158,3
Housing Units,"Householder Age - Households with one or more persons 65 years and over_Male householder, no wife present",90232,103186,3
Housing Units,"Renter occupied_Male householder, no wife present",71225,78768,3
Housing Units,"Owner occupied_Male householder, no wife present",19007,24418,3
Housing Units,Owner occupied_1  person household,53766,59409,3
Housing Units,Owner occupied_2  person household,26363,31295,3
Housing Units,Owner occupied_3  person household,5924,7537,3
Housing Units,Owner occupied_4  person household,2698,3548,3
Housing Units,Owner occupied_5 persons and over,1481,1397,3
Housing Units,Householder Age - Owner occupied_15 to 24 years,4492,7107,3
Housing Units,Householder Age - Owner occupied_25 to 44 years,46776,50744,3
Housing Units,Householder Age - Owner occupied_45 to 64 years,25815,30091,3
Housing Units,Householder Age - Owner occupied_65 years and over,13149,15244,3
Population,White Nonhispanic,101097,88569,30
Population,Black Nonhispanic,1863,2675,30
Population,Asian and Pacific Islander Nonhispanic,9343,12895,30
Population,Other Nonhispanic,1067,1084,30
Population,Two or More Races Nonhispanic,3526,1881,30
Population,Hispanic Origin,33014,47504,30
Population,Female,78287,79502,30
Population,Male,71623,75106,30
Population,Under 5 years,9259,9404,30
Population,5 to 9 years,9444,8920,30
Population,10 to 14 years,9046,8833,30
Population,15 to 19 years,8490,9350,30
Population,20 to 24 years,9651,10191,30
Population,25 to 44 years,48874,47212,30
Population,45 to 64 years,33138,40823,30
Population,65 years and over,22008,19875,30
Population,18 years and over,116929,121847,30
Population,In households,149468,154271,30
Population,In households_In family households,128357,132938,30
Population,In households_In family households_Householder,39141,39433,30
Population,In households_In family households_Spouse,28714,28002,30
Population,In households_In family households_Own child under 18 years,30160,29293,30
Population,In households_In family households_Other relatives,27125,31924,30
Population,In households_In family households_Nonrelatives,3217,4286,30
Population,In households_In nonfamily households,21111,21333,30
Population,In households_In nonfamily households_Householder,17740,17189,30
Population,In households_In nonfamily households_Householder 65 years and over living alone,6740,5508,30
Population,In households_In nonfamily households_Nonrelatives,3371,4144,30
Population,In group quarters_In nonfamily households,442,337,30
Households,In group quarters_In nonfamily households,56881,56622,30
Households,Family households_In nonfamily households,39141,39433,30
Households,Family households_Married-couple family,28714,28002,30
Households,Family households_Married-couple family_With related children under 18 years,13724,13390,30
Households,"Family households_Female householder, no husband present",7656,8074,30
Households,"Family households_Female householder, no husband present_With related children under 18 years",3911,4218,30
Households,"Family households_Male householder, no wife present",2771,3357,30
Households,"Family households_Male householder, no wife present_With related children under 18 years",1073,1380,30
Households,"Nonfamily households_Male householder, no wife present",17740,17189,30
Households,"Households with one or more persons 65 years and over_Male householder, no wife present",16773,15173,30
Persons Per Family,"Households with one or more persons 65 years and over_Male householder, no wife present",3.1971589892951124,3.2625465980270327,30
Persons Per Household,"Households with one or more persons 65 years and over_Male householder, no wife present",2.6277315799651904,2.724577019533044,30
Total Housing Units,"Households with one or more persons 65 years and over_Male householder, no wife present",59494,60334,30
Housing Units,"Householder Age - Households with one or more persons 65 years and over_Male householder, no wife present",56881,56622,30
Housing Units,"Renter occupied_Male householder, no wife present",30300,30848,30
Housing Units,"Owner occupied_Male householder, no wife present",26581,25774,30
Housing Units,Owner occupied_1  person household,15130,14010,30
Housing Units,Owner occupied_2  person household,16536,15913,30
Housing Units,Owner occupied_3  person household,10275,10712,30
Housing Units,Owner occupied_4  person household,8598,8987,30
Housing Units,Owner occupied_5 persons and over,6342,7000,30
Housing Units,Householder Age - Owner occupied_15 to 24 years,1711,1431,30
Housing Units,Householder Age - Owner occupied_25 to 44 years,22660,20753,30
Housing Units,Householder Age - Owner occupied_45 to 64 years,18321,22272,30
Housing Units,Householder Age - Owner occupied_65 years and over,14189,12166,30
Population,White Nonhispanic,17596,17097,31
Population,Black Nonhispanic,106788,109116,31
Population,Asian and Pacific Islander Nonhispanic,2180,2987,31
Population,Other Nonhispanic,1599,1736,31
Population,Two or More Races Nonhispanic,4948,3054,31
Population,Hispanic Origin,21314,26133,31
Population,Female,84149,86757,31
Population,Male,70276,73366,31
Population,Under 5 years,11667,11867,31
Population,5 to 9 years,13344,11412,31
Population,10 to 14 years,12993,11749,31
Population,15 to 19 years,11433,12830,31
